true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename
103308,1,33652,125183,0.7881273766652396,0.8815114481777627,65.79513549804688,56.859474182128906,ISIC_0011107.png
253876,543,76,7649,0.9251330430575714,0.9611107620782811,7.0,4.0,ISIC_0011083.png
227689,1489,535,32431,0.9412567116528806,0.9697395568579373,9.219544410705566,6.324555397033691,ISIC_0010077.png
244150,1822,186,15986,0.8884072468600644,0.9409064155385521,19.0,7.0,ISIC_0001299.png
181299,7446,1949,71450,0.8837899684581607,0.9383105157753046,39.408119201660156,22.0,ISIC_0000169.png
228180,0,11324,22640,0.6665881521611118,0.799943466892799,58.872745513916016,52.5927619934082,ISIC_0009954.png
225788,488,3876,31992,0.8799647926064473,0.9361502896939193,16.278820037841797,12.559751510620117,ISIC_0009201.png
252129,12,1967,8036,0.8023964053919121,0.8903661846989086,17.029386520385742,13.928388595581055,ISIC_0008406.png
107854,54840,706,98744,0.6399896299176875,0.7804800935842614,123.0,78.51241302490234,ISIC_0000537.png
199323,518,11813,50490,0.8037121344773245,0.8911756140180565,42.0,32.16828918457031,ISIC_0011089.png
